PlanId,min,q1,median,q3,max,mean,sd,count_non_missing
10046HI0020003,56.12,66.31,66.31,66.31,79.57,65.9158695652174,2.83786349690275,46
10046HI0020004,51.59,55.12,55.12,55.12,66.14,54.9976086956522,2.02240691013083,46
10046HI0020005,46.59,52.45,52.45,52.45,62.94,52.1854347826087,2.09553992673513,46
10046HI0020006,35.3,37.71,37.71,37.71,46.59,37.805,1.91097037595505,46
10064IN0050001,33.32,33.32,36.19,36.19,38.84,35.3152941176471,1.67382091950968,17
10064IN0050002,33.32,33.32,36.19,36.19,38.84,35.3152941176471,1.67382091950968,17
10091OR0360004,149,287,332,525,771,407.335403726708,163.950545088704,322
10091OR0360005,188,361,417,659,969,511.459627329193,205.86772493964,322
10091OR0360009,228,439,508,802.75,1181,623.037267080745,250.784722022663,322
10091OR0370003,129,249,287.5,454.75,669,352.711180124224,141.963030374092,322
10091OR0380003,145,278,321.5,508,747,394.347826086957,158.725247472765,322
10091OR0380011,134,258,298.5,471.75,693,365.916149068323,147.314133762881,322
10091OR0390003,148,285,329,520,765,403.729813664596,162.475049546688,322
10091OR0390012,137,264,305.5,482.75,710,374.599378881988,150.764896298838,322
10091OR0470002,38,38,38,38,38,38,0,7
10091OR0480001,21,24,29,33,35,28.6304347826087,4.86804755911336,322
10091OR0490001,40,46,54,60,64,53.0217391304348,8.45859400505349,322
10191NJ0030001,188.06,345.0275,397.15,625.2675,888.48,487.949782608696,197.622025880935,46
10191NJ0030002,192.57,353.3,406.67,640.2575,909.78,499.647391304348,202.360188469689,46
10191NJ0050001,196.41,360.335,414.77,653.0125,927.9,509.599130434783,206.389956472112,46
10191NJ0050002,264.56,485.37,558.7,879.615,1249.89,686.433913043478,278.00975593176,46
10191NJ0050003,323.66,593.8,683.505,1076.105,1529.1,839.775217391304,340.114044499058,46
10191NJ0070001,188.07,345.0375,397.165,625.2875,888.51,487.966304347826,197.629001238389,46
10191NJ0070002,192.56,353.2875,406.66,640.2375,909.75,499.630217391304,202.353199711013,46
10191NJ0070003,270.91,497.02,572.11,900.7275,1279.89,702.909782608696,284.682578614531,46
10191NJ0100001,198.25,372.8975,414.255,558.58,692.43,460.867454710145,115.264752825893,1104
10191NJ0100002,219.67,413.1975,459.01,618.9375,767.24,510.660942028986,127.718518615346,1104
10191NJ0100003,245.18,461.18,512.315,690.815,856.35,569.967255434783,142.551762470637,1104
10191NJ0120001,216.2,406.66,451.755,609.1575,755.12,502.594827898551,125.701564068304,1104
10191NJ0120002,245.13,461.0825,512.215,690.6725,856.17,569.851394927536,142.521896913334,1104
10191NJ0120003,298.07,560.6525,622.82,839.8225,1041.06,692.910326086957,173.299925527234,1104
10191NJ0140001,197.86,372.1575,413.43,557.4775,691.06,459.954574275362,115.036684712908,1104
10191NJ0140002,221.35,416.36,462.53,623.6825,773.13,514.578913043478,128.698983863873,1104
10191NJ0140003,244.32,459.57,510.53,688.4025,853.35,567.975054347826,142.052789342927,1104
10191NJ0150001,148.69,272.785,313.995,494.35,702.45,385.782173913043,156.243318263008,46
10191NJ0180001,159.18,292.0425,336.16,529.2475,752.04,413.017173913043,167.274676713523,46
10191NJ0190001,172.33,316.1675,363.935,572.975,814.17,447.138695652174,181.093420416814,46
10191NJ0190002,184.49,338.465,389.6,613.38,871.59,478.67347826087,193.865130681873,46
10191NJ0190004,319.23,585.6675,674.145,1061.37,1508.16,828.275217391304,335.455827241012,46
10191NJ0210001,174.73,328.6625,365.105,492.315,610.29,406.192934782609,101.590935708034,1104
10191NJ0220001,182.72,343.69,381.8,514.8275,638.19,424.765344202899,106.235810580733,1104
10191NJ0220002,219.73,413.3,459.13,619.1,767.44,510.794538043478,127.751874948369,1104
10191NJ0220004,285.01,536.0875,595.535,803.025,995.45,662.551367753623,165.706676727552,1104
10191NJ0290001,179.5,329.3075,379.06,596.7875,848.01,465.723695652174,188.620452435969,46
10191NJ0290002,192.01,352.275,405.49,638.4,907.14,498.197826086957,201.773239398567,46
10191NJ0290003,270.54,496.3475,571.335,899.5,1278.15,701.954782608696,284.295376323359,46
10191NJ0290004,334.21,613.16,705.795,1111.19,1578.96,867.157391304348,351.204176888821,46
10191NJ0300001,191.34,359.9175,399.825,539.125,668.32,444.816077898551,111.24969421461,1104
10191NJ0300002,217.74,409.56,454.985,613.5,760.51,506.180235507246,126.597667866682,1104
10191NJ0300003,249.58,469.45,521.51,703.205,871.7,580.190760869565,145.107965499069,1104
10191NJ0300004,297.49,559.565,621.615,838.1925,1039.04,691.56597826087,172.963128366137,1104
10207VA0380001,195.52,358.7075,412.895,650.0575,923.7,507.292826086957,205.455907977714,46
10207VA0380002,232.89,427.2725,491.825,774.32,1100.28,604.26847826087,244.732987341691,46
10207VA0380003,225.65,413.9825,476.525,750.23,1066.05,585.470434782609,237.11812949064,46
10207VA0380004,98.23,180.2275,207.455,326.6075,464.1,254.881956521739,103.228326659768,46
10207VA0380009,110.04,201.88,232.38,365.855,519.87,285.509782608696,115.633228221133,46
10207VA0380011,176.9,324.56,373.59,588.1725,835.77,459.001086956522,185.898455617615,46
10207VA0380013,106.93,196.1725,225.815,355.5125,505.17,277.437391304348,112.36389029369,46
10207VA0400001,143.14,262.6125,302.285,475.9175,676.26,371.398695652174,150.419156102889,46
10207VA0400002,195.57,358.7975,413,650.225,923.94,507.423913043478,205.509956757745,46
10207VA0400005,237.4,435.545,501.345,789.31,1121.58,615.967173913043,249.470384327038,46
10207VA0430003,196.59,366.3,423.83,672.4975,968.25,520.843423913043,209.390437265572,184
10207VA0430006,163.19,304.065,351.815,558.2375,803.73,432.347608695652,173.812698048772,184
10207VA0440004,258.66,481.9475,557.635,884.805,1273.92,685.281086956522,275.497702184963,184
