HIOS_ISSUER_ID,ISSR_LGL_NAME,MarketingName,State,image_url_1
10011,Southern Farm Bureau Life Insurance Company,,TX,http://www.insurancelevel.com/company/logo/farm-bureau-insurance.gif
10018,Unified Life Insurance Company,,SC,http://www.texaskidsfirst.com/images/ULIC-Logo.jpg
10029,American National Life Insurance Company of Texas,,MD,http://www.moodyinsurancegroup.com/wp-content/uploads/2012/05/ANICO-logo_color_RGB.jpg
10046,BEST Life and Health Insurance Company,BEST Life,HI,http://hersheys.newslinevine.com/images/full/best_life_logo.jpg
10047,GTECH Corporatopn,GTECH Corporation,RI,http://caribbeanresumes.com/files/imagecache/employer-logo/logo/GTECH%20logo.JPG
10055,Union Security Insurance Company,Assurant Health,TX,http://www.rehabilitation-center.org/wp-content/uploads/2012/08/Assurant-Health.jpg
10064,Principal Life Insurance Company,Principal Life Insurance Company,IN,http://acceleratemn.com/wp-content/uploads/2012/03/principal+financial.jpg
10078,Guarantee Trust Life Insurance Company,,PA,http://www.refugeinsurance.com/images/GTL%20logo.jpg
10083,Prudential Insurance Company of America,,IA,http://www.trademarkia.com/logo-images/prudential-insurance-company-of-america/prudential-center-77077075.jpg
10091,PacificSource Health Plans,,OR,https://inc.memberclicks.net/assets/other-org-logos/pacificsource.jpg
10092,Perico Life Insurance Company,,IL,http://www.trademarkia.com/services/logo.ashx?sid=85113855
10141,World Insurance Company,,ND,"http://1-ps.googleusercontent.com/h/www.world-insurance-companies.com/uploads/9/1/6/6/9166349/x8305192.jpg,q1379368825.pagespeed.ic.QmX5Mmz2d-.jpg"
10161,Connecticut General Life Insurance Company,,NE,http://www.insurancelevel.com/company/logo/cigna.jpg
10163,Nationwide Life Insurance Company,,MA,http://asppamarketingkit.org/wp-content/uploads/2014/09/Nationwide_insurance_logo.jpg
10169,"Humana Insurance Company of Kentucky, Inc. ",,TN,http://www.insuranceproviders.com/Images/360healthbystate_doc_647d9071.jpg
10185,TriVentures Inc,Aquent,MA,http://www.isaacewing.com/images/aquent.png
10188,Kanawha Insurance Company ,Humana,WA,http://www.wilsonfiquettdental.com/wp-content/uploads/2013/03/humana-logo.jpg
10191,"Freelancers CO-OP of New Jersey, Inc.",Health Republic Insurance of New Jersey,NJ,http://www.conferenceny.com/uploads/logos/Health-Republic-Logo1.jpg
10192,Union Fidelity Life Insurance Company,,DE,http://www.trademarkia.com/logo-images/financial-holding-corporation/united-fidelity-life-insurance-company-85646975.jpg
10198,Wilton Reassurance Company,,DE,http://www.freekymonkey.com/pictures/aa676a.JPG
10201,Transamerica Life Insurance Company,,IA,http://www.medicaremall.com/wp-content/uploads/2011/02/transamerica-logo.png
10204,Guardian Life Insurance Company of America,Guardian,ID,http://icould.com/files/2012/01/guardian-logo.jpg
10207,"CareFirst BlueChoice, Inc.",CareFirst BlueChoice,VA,https://provider.carefirst.com/carefirst-resources/css/images/logo.carefirst.png
10219,Central United Life Insurance Company,,MO,http://www.manhattanlife.com/Portals/0/LayerSlider3D/490/cul.png
10236,The United States Life Ins. Co. in the City of New York,,KS,http://logonoid.com/images/transamerica-logo.png
10241,"Humana Insurance Company of Kentucky, Inc. ",,MI,http://www.insuranceproviders.com/Images/360healthbystate_doc_647d9071.jpg
10255,Mid-West National Life Insurance Company of Tennessee,,TN,"http://i.ebayimg.com/t/VINTAGE-PROMO-GIVE-AWAY-NATIONAL-LIFE-AND-ACCIDENT-INSURANCE-COMPANY-SEWING-KIT-/00/s/MTYwMFgxNDcw/$(KGrHqNHJBEE9ps,tP3nBPb!PMG0u!~~60_57.JPG"
10269,Washington National Insurance Company,,WV,http://www.indeed.com/cmp/_s/logos/2617e9b5ae6ef4a6
10313,American Alternative Insurance Corp,"Allied National, Inc.",OH,https://pbs.twimg.com/profile_images/1894070731/allied_logo.jpg
10324,Freedom Life Insurance,,NE,http://www.mdpreferredservices.com/images/profiles/F55F-E-CMYK.jpg
10345,"Delta Dental of New York, Inc.",,NY,http://goodlogo.com/images/logos/small/delta_dental_logo_2728.gif
10354,Thrivent Financial for Lutherans,,AR,http://2.bp.blogspot.com/_DmtdGP6kzMQ/S7jkzluNHnI/AAAAAAAAN44/0tUqR9RpOBw/s1600/logo-ThriventFinancial.gif
10360,Thrivent Financial for Lutherans,,CA,http://2.bp.blogspot.com/_DmtdGP6kzMQ/S7jkzluNHnI/AAAAAAAAN44/0tUqR9RpOBw/s1600/logo-ThriventFinancial.gif
10383,Seneca Foods Corporation,Seneca Foods Corporation,NY,http://www.senecafoods.com/sites/default/files/logo.png
10390,Transamerica Life Insurance Company,,SC,http://www.medicaremall.com/wp-content/uploads/2011/02/transamerica-logo.png
10391,Knights of Columbus,,CT,https://keenforgod.files.wordpress.com/2014/12/kofc-logo-jpg.jpg
10421,The Union Labor Life Insurance Company,,OH,http://thumb1.shutterstock.com/display_pic_with_logo/1018532/185226650/stock-vector-customer-care-care-for-employees-labor-union-crm-and-life-insurance-concepts-businessman-185226650.jpg
10457,American Republic Insurance Company,,DE,http://www.americanrepublic.com/images/aric-logo.png
10463,Life of America,,OK,https://upload.wikimedia.org/wikipedia/en/thumb/5/57/Feminists_For_Life_of_America_logo.svg/800px-Feminists_For_Life_of_America_logo.svg.png
10466,Prudential Insurance Company of America,,MO,http://www.trademarkia.com/logo-images/prudential-insurance-company-of-america/prudential-center-77077075.jpg
10471,Kentucky Health Cooperative,West Virginia Health Cooperative,WV,http://photos.prnewswire.com/prnvar/20140520/89478
10508,Trustmark Insurance Company,,NM,http://www.insurersreviewservices.com/carrier_logos/trustmark.gif
10529,United of Omaha Life Insurance Company,,NV,https://www.immediateannuities.com/images/logos-insco/united-omaha.jpg
10544,Oscar Health Plan of California,Oscar,CA,http://randomcelebs.com/wp-content/uploads/2015/02/Oscars-2015-Logo-8.jpg
10545,Unified Life Insurance Company,,PA,http://www.texaskidsfirst.com/images/ULIC-Logo.jpg
10575,National Foundation Life Insurance Company,,RI,https://ektron.nationallifegroup.com/uploadedImages/Logo_NationalLifeGroup.jpg
10605,HealthMatters of Central Oregon,,OR,http://cascadebusnews.com/wp-content/uploads/2015/06/HealthMatters.jpg
10641,United Teachers Associates,,WI,http://utaic.com/Portals/5/UTA_PMS_logo.png
10646,Transamerica Financial Life Insurance Company,,NJ,http://www.medicaremall.com/wp-content/uploads/2011/02/transamerica-logo.png
10676,American Republic Insurance Company,,MO,http://www.americanrepublic.com/images/aric-logo.png
10682,First Allmerica Financial Life Ins. Co,,OH,http://www.insurancelevel.com/company/logo/allmerica-financial.gif
10697,All Savers Insurance Company,,SD,https://myallsaversmember.com/filestore/%7B7151ca57-92be-41aa-8557-b09de24ee5dc%7D/CMS/Graphics/logo_member.png
10709,Trustmark Insurance Company,,OH,http://www.insurersreviewservices.com/carrier_logos/trustmark.gif
10739,Dentegra Insurance Company,,NE,http://logosdatabase.com/logoimages/76142836.jpg
10751,State Farm Mutual Automobile Ins. Co.,,ND,http://www.knowmore.org/wiki/images/e/ed/State_Farm_Mutual_Automobile_Insurance_Company-logo.png
10753,ACE Property and Casualty Insurance Company,,UT,http://www.acegroup.com/assets/images/ace-logo.jpg
10754,Union Security Insurance Company,Assurant Health,AR,http://www.rehabilitation-center.org/wp-content/uploads/2012/08/Assurant-Health.jpg
10805,United Teachers Associates,,TX,http://utaic.com/Portals/5/UTA_PMS_logo.png
10818,Pekin Life Insurance Company,Pekin Life Insurance Company,NE,http://ww1.prweb.com/prfiles/2010/02/28/3666174/0_PekinInsuranceLogo.jpg
10827,Trustmark Life Insurance Company,,AK,http://www.healthy-monroe.com/images/starmark.jpg
10829,BCS Insurance Company,,PA,https://pbs.twimg.com/profile_images/1866386635/bcs_facebook_logo_400x400.jpg
10832,New Era Life Insurance Company of the MidWest,,LA,http://www.elbertins.com/images/united_health_care_logo.gif
10842,Celtic Insurance Company,,PA,http://listtoptens.com/wp-content/uploads/2013/11/Best-Health-Insurance-Companies-US-Celtic-Insurance.jpg
