HIOS_ISSUER_ID,ISSR_LGL_NAME,MarketingName,State,IndividualMarket,SmallGroupMarket,UnknownMarket,LargeMarket,FEDERAL_EIN,Active,DateCreated,LastModifiedDate,DatabaseCompanyID,ORG_ADR1,ORG_ADR2,ORG_CITY,ORG_STATE,ORG_ZIP,ORG_ZIP4
97624,PreferredOne Community Health Plan,,MN,YES,YES,NO,NO,411796007,YES,7/14/10,5/17/13,315,6105 Golden Hills Drive,,Golden Valley,MN,55416,
88102,PreferredOne Insurance Company,,MN,YES,YES,NO,NO,810625135,YES,7/14/10,5/17/13,316,6501 Golden Hills Drive,,Golden Valley,MN,55416,
21580,"nHealth, Inc.",,VA,NO,YES,NO,NO,760827573,YES,6/16/10,,282,2570 Technical Drive,,Miamisburg,OH,45342,
18196,"Trilogy Health Insurance, Inc.",,WI,NO,YES,NO,NO,205330218,YES,7/14/10,8/28/12,373,18000 West Sarah Lane,Suite 310,Brookfield,WI,53045,5842
47342,Health Tradition Health Plan,Health Tradition Health Plan,WI,YES,YES,NO,NO,391545987,YES,5/26/10,11/6/13,188,1808 E. Main St,,Onalaska,WI,54650,
47342,Health Tradition Health Plan,Health Tradition Health Plan,WI,YES,YES,NO,NO,391545987,YES,5/26/10,11/6/13,188,1808 East Main Street,PO BOX 188,Onalaska ,WI,54650,8456
99852,"The Vermont Health Plan, LLC",,VT,NO,YES,NO,NO,30354356,YES,5/21/10,3/8/13,369,P.O. Box 186,,Montpelier,VT,5601,186
85425,Mutual of Omaha Insurance Company,,AL,YES,NO,NO,NO,470246511,YES,6/11/10,,269,Mutual of Omaha Plaza,,Omaha,NE,68175,
31204,Mutual of Omaha Insurance Company,,MA,YES,NO,NO,NO,470246511,YES,6/11/10,,269,Mutual of Omaha Plaza,,Omaha,NE,68175,
48149,Mutual of Omaha Insurance Company,,NY,YES,NO,NO,NO,470246511,YES,6/11/10,,269,Mutual of Omaha Plaza,,Omaha,NE,68175,
51398,"Preferred Medical Plan, Inc.",,FL,YES,NO,NO,NO,591419293,YES,5/26/10,9/20/13,314,4950 SW 8th Street,,Coral Gables,FL,33134,
51398,"Preferred Medical Plan, Inc.",,FL,YES,NO,NO,NO,591419293,YES,5/26/10,9/20/13,314,4950 SW 8th Street,Suite 403,Coral Gables,FL,33134,2400
65890,Coventry Health and Life,,GA,YES,YES,NO,NO,751296086,YES,7/16/10,10/14/13,122,"1100 Circle 75 Parkway, Suite 1400",,Atlanta,GA,30339,
47783,"Aetna Health Inc., a Georgia Corp","Coventry Health Care of Georgia, Inc.",GA,YES,YES,NO,NO,581649568,YES,7/16/10,6/25/15,3,"1100 Circle 75 Parkway, Suite 1400",,Atlanta,GA,30339,
41094,"HOMETOWN HEALTH PLAN, INC",,NV,YES,YES,NO,NO,880231433,YES,5/21/10,,206,830 HARVARD WAY,,RENO,NV,89502,
85266,HOMETOWN HEALTH PROVIDERS INS. CO. INC.,,NV,YES,YES,NO,NO,880177026,YES,5/21/10,,207,830 HARVARD WAY,,RENO,NV,89502,
20662,PHP Insurance Company,,MI,YES,YES,NO,NO,205565219,YES,5/26/10,10/2/12,306,1400 E. Michigan Ave,,Lansing,MI,48912,
60597,PacificSource Health Plans,,ID,YES,YES,NO,NO,930245545,YES,5/24/10,9/13/13,299,110 International Way,,Springfield,OR,97477,
10091,PacificSource Health Plans,,OR,YES,YES,NO,NO,930245545,YES,5/24/10,9/13/13,299,110 International Way,,Springfield,OR,97477,
10091,PacificSource Health Plans,,OR,YES,YES,NO,NO,930245545,YES,5/24/10,9/13/13,299,110 International Way,,Springfield,OR,97477,
62210,"South Dakota State Medical Holding Company, Inc.",DAKOTACARE,SD,YES,YES,NO,NO,460401087,YES,7/3/10,12/31/14,134,2600 W 49th Street,PO Box 7406,Sioux Falls,SD,57117,7406
62210,"South Dakota State Medical Holding Company, Inc.",DAKOTACARE,SD,YES,YES,NO,NO,460401087,YES,7/3/10,12/31/14,134,2600 West 49th St.,P.O. Box 7406,Sioux Falls,SD,57117,7406
13627,Blue Cross Blue Shield of Vermont,,VT,YES,YES,NO,NO,30277307,YES,5/21/10,3/8/13,67,P.O. Box 186,,Montpelier,VT,5601,186
49532,"BlueChoice HealthPlan of South Carolina, Inc.",BlueChoice HealthPlan,SC,YES,YES,NO,NO,570768835,YES,5/26/10,10/21/13,73,I-20 East at Alpine Road,,Columbia,SC,29219,
49532,"BlueChoice HealthPlan of South Carolina, Inc.",BlueChoice HealthPlan,SC,YES,YES,NO,NO,570768835,YES,5/26/10,10/21/13,73,I-20 East at Alpine Road,AX-400,Columbia,SC,29219,1
56346,"Coventry Health Care of the Carolinas, Inc.","Coventry Health Care of the Carolinas, Inc.",NC,YES,YES,NO,NO,200229117,YES,5/26/10,10/3/13,429,2801 Slater Road,Suite 200,Morrisville,NC,27560,
94459,Coventry Health & Life Insurance Company,,NC,NO,YES,NO,NO,751296086,YES,6/17/10,10/1/13,122,2801 Slater Road,Suite 200,Morrisville,NC,27560,
56262,Coventry Health & Life Insurance Company,,SC,NO,YES,NO,NO,751296086,YES,6/17/10,10/1/13,122,2801 Slater Road,Suite 200,Morrisville,NC,27560,
41614,"Coventry Health Care of the Carolinas, Inc.","Coventry Health Care of the Carolinas, Inc.",SC,YES,YES,NO,NO,200229117,YES,5/26/10,10/18/13,429,2801 Slater Road,Suite 200,Morrisville,NC,27560,
63312,Colorado Choice Health Plans,,CO,YES,YES,NO,NO,237296258,YES,7/12/10,,111,700 Main Street #100,,Alamosa,CO,81101,
10754,Union Security Insurance Company,Assurant Health,AR,NO,YES,NO,NO,810170040,YES,5/27/10,6/25/13,383,501 W. Michigan St.,,Milwaukee,WI,53203,
30038,Union Security Insurance Company,Assurant Health,AZ,NO,YES,NO,NO,810170040,YES,5/27/10,6/25/13,383,501 W. Michigan St.,,Milwaukee,WI,53203,
46471,Union Security Insurance Company,Assurant Health,CA,NO,YES,NO,NO,810170040,YES,5/27/10,6/25/13,383,501 W. Michigan St.,,Milwaukee,WI,53203,
20604,Union Security Insurance Company,Assurant Health,DC,NO,YES,NO,NO,810170040,YES,5/27/10,6/25/13,383,501 W. Michigan St.,,Milwaukee,WI,53203,
24452,Union Security Insurance Company,Assurant Health,GA,NO,YES,NO,NO,810170040,YES,5/27/10,6/25/13,383,501 W. Michigan St.,,Milwaukee,WI,53203,
60690,Union Security Insurance Company,Assurant Health,IA,NO,YES,NO,NO,810170040,YES,5/27/10,6/25/13,383,501 W. Michigan St.,,Milwaukee,WI,53203,
90335,Union Security Insurance Company,Assurant Health,IL,NO,YES,NO,NO,810170040,YES,5/27/10,6/25/13,383,501 W. Michigan St.,,Milwaukee,WI,53203,
32747,Union Security Insurance Company,Assurant Health,IN,NO,YES,NO,NO,810170040,YES,5/27/10,6/25/13,383,501 W. Michigan St.,,Milwaukee,WI,53203,
16201,Union Security Insurance Company,Assurant Health,KS,NO,YES,NO,NO,810170040,YES,5/27/10,6/25/13,383,501 W. Michigan St.,,Milwaukee,WI,53203,
62573,Union Security Insurance Company,Assurant Health,KY,NO,YES,NO,NO,810170040,YES,5/27/10,6/25/13,383,501 W. Michigan St.,,Milwaukee,WI,53203,
21857,Union Security Insurance Company,Assurant Health,LA,NO,YES,NO,NO,810170040,YES,5/27/10,6/25/13,383,501 W. Michigan St.,,Milwaukee,WI,53203,
79454,Union Security Insurance Company,Assurant Health,MA,NO,YES,NO,NO,810170040,YES,5/27/10,6/25/13,383,501 W. Michigan St.,,Milwaukee,WI,53203,
80639,Union Security Insurance Company,Assurant Health,MI,NO,YES,NO,NO,810170040,YES,5/27/10,6/25/13,383,501 W. Michigan St.,,Milwaukee,WI,53203,
25424,Union Security Insurance Company,Assurant Health,MN,NO,YES,NO,NO,810170040,YES,5/27/10,6/25/13,383,501 W. Michigan St.,,Milwaukee,WI,53203,
27074,Union Security Insurance Company,Assurant Health,MO,NO,YES,NO,NO,810170040,YES,5/27/10,6/25/13,383,501 W. Michigan St.,,Milwaukee,WI,53203,
